title,artist_name,writer,gender,year,writer_is_artist,artist_gender,title_artist_name,Songwriter is Artist
Put A Little Love In Your Heart,Jackie DeShannon,Jackie DeShannon,f,1969,,f,Put A Little Love In Your Heart by Jackie DeShannon,1
Ain't No Mountain High Enough,Diana Ross,Valerie Simpson,f,1970,,f,Ain't No Mountain High Enough by Diana Ross,0
It's Too Late/I Feel The Earth Move,Carole King,Toni Stern,f,1971,,f,It's Too Late/I Feel The Earth Move by Carole King,0
It's Too Late/I Feel The Earth Move,Carole King,Carole King,f,1971,,f,It's Too Late/I Feel The Earth Move by Carole King,1
Brand New Key,Melanie,Melanie Safka,f,1971,,f,Brand New Key by Melanie,1
Day Dreaming,Aretha Franklin,Aretha Franklin,f,1972,,f,Day Dreaming by Aretha Franklin,1
You're So Vain,Carly Simon,Carly Simon,f,1972,,f,You're So Vain by Carly Simon,1
I Am Woman,Helen Reddy,Helen Reddy,f,1972,,f,I Am Woman by Helen Reddy,1
Paper Roses,Marie Osmond,Janice Torre,f,1973,,f,Paper Roses by Marie Osmond,0
Leave Me Alone (ruby Red Dress),Helen Reddy,Linda Laurie,f,1973,,f,Leave Me Alone (ruby Red Dress) by Helen Reddy,0
Half-Breed,Cher,Mary Dean,f,1973,,f,Half-Breed by Cher,0
Funny Face,Donna Fargo,Donna Fargo,f,1973,,f,Funny Face by Donna Fargo,1
Pillow Talk,Sylvia (r&b),Sylvia Robinson,f,1973,,f,Pillow Talk by Sylvia (r&b),1
The Way We Were,Barbra Streisand,Marilyn Bergman,f,1974,,f,The Way We Were by Barbra Streisand,0
Jazzman,Carole King,Carole King,f,1974,,f,Jazzman by Carole King,1
Lady Marmalade,Labelle,Minnie Riperton,f,1975,,f,Lady Marmalade by Labelle,0
At Seventeen,Janis Ian,Janis Ian,f,1975,,f,At Seventeen by Janis Ian,1
I'm Not Lisa,Jessi Colter,Jessi Colter,f,1975,,f,I'm Not Lisa by Jessi Colter,1
Lovin' You,Minnie Riperton,Minnie Riperton,f,1975,,f,Lovin' You by Minnie Riperton,1
Poetry Man,Phoebe Snow,Phoebe Snow Laub,f,1975,,f,Poetry Man by Phoebe Snow,1
Love Hangover,Diana Ross,Marilyn McLeod,f,1976,,f,Love Hangover by Diana Ross,0
Love Hangover,Diana Ross,Pam Sawyer,f,1976,,f,Love Hangover by Diana Ross,0
Nobody Does It Better,Carly Simon,Carole Bayer Sager,f,1977,,f,Nobody Does It Better by Carly Simon,0
"Evergreen (Love Theme From \A Star Is Born\"")""",Barbra Streisand,Barbra Streisand,f,1977,,f,"Evergreen (Love Theme From \A Star Is Born\"")"" by Barbra Streisand",1
Here You Come Again,Dolly Parton,Cynthia Weil,f,1978,,f,Here You Come Again by Dolly Parton,0
I Love The Nightlife (Disco 'round),Alicia Bridges,Susan Hutcheson,f,1978,,f,I Love The Nightlife (Disco 'round) by Alicia Bridges,0
I Love The Nightlife (Disco 'round),Alicia Bridges,Alicia Bridges,f,1978,,f,I Love The Nightlife (Disco 'round) by Alicia Bridges,1
Lead Me On,Maxine Nightingale,Allee,f,1979,,f,Lead Me On by Maxine Nightingale,0
Lead Me On,Maxine Nightingale,Willis,f,1979,,f,Lead Me On by Maxine Nightingale,0
Bad Girls,Donna Summer,Donna Summer,f,1979,,f,Bad Girls by Donna Summer,1
Dim All The Lights,Donna Summer,Donna Summer,f,1979,,f,Dim All The Lights by Donna Summer,1
Chuck E.'s In Love,Rickie Lee Jones,Rickie Lee Jones,f,1979,,f,Chuck E.'s In Love by Rickie Lee Jones,1
The Rose,Bette Midler,BROOM AMANDA MC,f,1980,,f,The Rose by Bette Midler,0
He's So Shy,The Pointer Sisters,CYNTHIA WEIL,f,1980,,f,He's So Shy by The Pointer Sisters,0
The Wanderer,Donna Summer,DONNA A SUMMER,f,1980,,f,The Wanderer by Donna Summer,1
On The Radio,Donna Summer,Donna Summer,f,1980,,f,On The Radio by Donna Summer,1
Bette Davis Eyes,Kim Carnes,Donna Weiss,f,1981,,f,Bette Davis Eyes by Kim Carnes,0
Morning Train (Nine To Five),Sheena Easton,Florrie Palmer,f,1981,,f,Morning Train (Nine To Five) by Sheena Easton,0
Bette Davis Eyes,Kim Carnes,Jackie DeShannon,f,1981,,f,Bette Davis Eyes by Kim Carnes,0
9 To 5,Dolly Parton,Dolly Parton,f,1981,,f,9 To 5 by Dolly Parton,1
We Got The Beat,Go-Go's,Charlotte Caffey,f,1982,,f,We Got The Beat by Go-Go's,1
Love Is A Battlefield,Pat Benatar,A.Knight,f,1983,,f,Love Is A Battlefield by Pat Benatar,0
She Works Hard For The Money,Donna Summer,DONNA A SUMMER,f,1983,,f,She Works Hard For The Money by Donna Summer,1
Flashdance...What A Feeling,Irene Cara,Irene Cara,f,1983,,f,Flashdance...What A Feeling by Irene Cara,1
Stand Back,Stevie Nicks,STEPHANIE NICKS,f,1983,,f,Stand Back by Stevie Nicks,1
Better Be Good To Me,Tina Turner,Knight,f,1984,,f,Better Be Good To Me by Tina Turner,0
Jump (for My Love),The Pointer Sisters,M.Sharron,f,1984,,f,Jump (for My Love) by The Pointer Sisters,0
She Bop,Cyndi Lauper,Cyndi Lauper,f,1984,,f,She Bop by Cyndi Lauper,1
Time After Time,Cyndi Lauper,Cyndi Lauper,f,1984,,f,Time After Time by Cyndi Lauper,1
Lucky Star,Madonna,Madonna Ciccone,f,1984,,f,Lucky Star by Madonna,1
Dress You Up,Madonna,A.LaRusso,f,1985,,f,Dress You Up by Madonna,0
You Give Good Love,Whitney Houston,LaLa,f,1985,,f,You Give Good Love by Whitney Houston,0
Dress You Up,Madonna,P.Stanziale,f,1985,,f,Dress You Up by Madonna,0
I Miss You,Klymaxx,L.Malsby,f,1985,,f,I Miss You by Klymaxx,1
Angel,Madonna,Madonna Ciccone,f,1985,,f,Angel by Madonna,1
Smooth Operator,Sade,Sade,f,1985,,f,Smooth Operator by Sade,1
Lover Girl,Teena Marie,Teena Marie,f,1985,,f,Lover Girl by Teena Marie,1
Greatest Love Of All,Whitney Houston,Linda Creed,f,1986,,f,Greatest Love Of All by Whitney Houston,0
How Will I Know,Whitney Houston,Shannon Rubicam,f,1986,,f,How Will I Know by Whitney Houston,0
The Sweetest Taboo,Sade,"Helen Folasade \Sade\"" Adu""",f,1986,,f,The Sweetest Taboo by Sade,1
Nasty,Janet Jackson,Janet Jackson,f,1986,,f,Nasty by Janet Jackson,1
What Have You Done For Me Lately,Janet Jackson,Janet Jackson,f,1986,,f,What Have You Done For Me Lately by Janet Jackson,1
When I Think Of You,Janet Jackson,Janet Jackson,f,1986,,f,When I Think Of You by Janet Jackson,1
True Blue,Madonna,Madonna,f,1986,,f,True Blue by Madonna,1
Live To Tell,Madonna,Madonna Ciccone,f,1986,,f,Live To Tell by Madonna,1
Papa Don't Preach,Madonna,Madonna Ciccone,f,1986,,f,Papa Don't Preach by Madonna,1
Change Of Heart,Cyndi Lauper,E.Mohawk,f,1987,,f,Change Of Heart by Cyndi Lauper,0
Heaven Is A Place On Earth,Belinda Carlisle,E.Shipley,f,1987,,f,Heaven Is A Place On Earth by Belinda Carlisle,0
Let's Wait Awhile,Janet Jackson,M.Andrews,f,1987,,f,Let's Wait Awhile by Janet Jackson,0
I Wanna Dance With Somebody (Who Loves Me),Whitney Houston,Shannon Rubicam,f,1987,,f,I Wanna Dance With Somebody (Who Loves Me) by Whitney Houston,0
Change Of Heart,Cyndi Lauper,Cyndi Lauper,f,1987,,f,Change Of Heart by Cyndi Lauper,1
Only In My Dreams,Debbie Gibson,D.Gibson,f,1987,,f,Only In My Dreams by Debbie Gibson,1
"I Heard A Rumour (From \Disorderlies\"")""",Bananarama,Dallin,f,1987,,f,"I Heard A Rumour (From \Disorderlies\"")"" by Bananarama",1
Shake Your Love,Debbie Gibson,Dave Gibson,f,1987,,f,Shake Your Love by Debbie Gibson,1
"I Heard A Rumour (From \Disorderlies\"")""",Bananarama,Fahey,f,1987,,f,"I Heard A Rumour (From \Disorderlies\"")"" by Bananarama",1
Control,Janet Jackson,Janet Jackson,f,1987,,f,Control by Janet Jackson,1
Let's Wait Awhile,Janet Jackson,Janet Jackson,f,1987,,f,Let's Wait Awhile by Janet Jackson,1
Looking For A New Love,Jody Watley,Jody Watley,f,1987,,f,Looking For A New Love by Jody Watley,1
La Isla Bonita,Madonna,Madonna,f,1987,,f,La Isla Bonita by Madonna,1
Open Your Heart,Madonna,Madonna,f,1987,,f,Open Your Heart by Madonna,1
Causing A Commotion,Madonna,Madonna Ciccone,f,1987,,f,Causing A Commotion by Madonna,1
Who's That Girl,Madonna,Madonna Ciccone,f,1987,,f,Who's That Girl by Madonna,1
Luka,Suzanne Vega,Suzanne Vega,f,1987,,f,Luka by Suzanne Vega,1
"I Heard A Rumour (From \Disorderlies\"")""",Bananarama,Woodward,f,1987,,f,"I Heard A Rumour (From \Disorderlies\"")"" by Bananarama",1
The Loco-Motion,Kylie Minogue,C.King,f,1988,,f,The Loco-Motion by Kylie Minogue,0
I Get Weak,Belinda Carlisle,Diane Eve Warren,f,1988,,f,I Get Weak by Belinda Carlisle,0
Could've Been,Tiffany,L.Blaisch,f,1988,,f,Could've Been by Tiffany,0
Giving You The Best That I Got,Anita Baker,Anita Baker,f,1988,,f,Giving You The Best That I Got by Anita Baker,1
Foolish Beat,Debbie Gibson,Debbie Gibson,f,1988,,f,Foolish Beat by Debbie Gibson,1
Out Of The Blue,Debbie Gibson,Debbie Gibson,f,1988,,f,Out Of The Blue by Debbie Gibson,1
Mercedes Boy,Pebbles,Pebbles,f,1988,,f,Mercedes Boy by Pebbles,1
If I Could Turn Back Time,Cher,Diane Eve Warren,f,1989,,f,If I Could Turn Back Time by Cher,0
With Every Beat Of My Heart,Taylor Dayne,Golden,f,1989,,f,With Every Beat Of My Heart by Taylor Dayne,0
Buffalo Stance,Neneh Cherry,Cherry,f,1989,,f,Buffalo Stance by Neneh Cherry,1
Lost In Your Eyes,Debbie Gibson,Debbie Gibson,f,1989,,f,Lost In Your Eyes by Debbie Gibson,1
Don't Wanna Lose You,Gloria Estefan,Gloria M. Estefan,f,1989,,f,Don't Wanna Lose You by Gloria Estefan,1
Rhythm Nation,Janet Jackson,Janet Jackson,f,1989,,f,Rhythm Nation by Janet Jackson,1
Real Love,Jody Watley,Jody Watley,f,1989,,f,Real Love by Jody Watley,1
Express Yourself,Madonna,Madonna,f,1989,,f,Express Yourself by Madonna,1
Cherish,Madonna,Madonna Ciccone,f,1989,,f,Cherish by Madonna,1
Like A Prayer,Madonna,Madonna Ciccone,f,1989,,f,Like A Prayer by Madonna,1
Toy Soldiers,Martika,Martika,f,1989,,f,Toy Soldiers by Martika,1
Eternal Flame,The Bangles,S.Hoffs,f,1989,,f,Eternal Flame by The Bangles,1
In Your Room,The Bangles,S.Hoffs,f,1989,,f,In Your Room by The Bangles,1
I'll Be Your Shelter,Taylor Dayne,Diane Eve Warren,f,1990,,f,I'll Be Your Shelter by Taylor Dayne,0
Love Will Lead You Back,Taylor Dayne,Diane Eve Warren,f,1990,,f,Love Will Lead You Back by Taylor Dayne,0
From A Distance,Bette Midler,J.Gold,f,1990,,f,From A Distance by Bette Midler,0
Hold On,Wilson Phillips,Chynna Phillips,f,1990,,f,Hold On by Wilson Phillips,1
Hold On,En Vogue,En Vogue,f,1990,,f,Hold On by En Vogue,1
Don't Wanna Fall In Love,Jane Child,J.Child,f,1990,,f,Don't Wanna Fall In Love by Jane Child,1
Alright,Janet Jackson,Janet Jackson,f,1990,,f,Alright by Janet Jackson,1
Black Cat,Janet Jackson,Janet Jackson,f,1990,,f,Black Cat by Janet Jackson,1
Come Back To Me,Janet Jackson,Janet Jackson,f,1990,,f,Come Back To Me by Janet Jackson,1
Escapade,Janet Jackson,Janet Jackson,f,1990,,f,Escapade by Janet Jackson,1
All Around The World,Lisa Stansfield,Lisa Stansfield,f,1990,,f,All Around The World by Lisa Stansfield,1
Justify My Love,Madonna,Madonna Ciccone,f,1990,,f,Justify My Love by Madonna,1
Vogue,Madonna,Madonna Ciccone,f,1990,,f,Vogue by Madonna,1
Love Takes Time,Mariah Carey,Mariah Carey,f,1990,,f,Love Takes Time by Mariah Carey,1
Vision Of Love,Mariah Carey,Mariah Carey,f,1990,,f,Vision Of Love by Mariah Carey,1
Hold On,Wilson Phillips,Wilson,f,1990,,f,Hold On by Wilson Phillips,1
Release Me,Wilson Phillips,Wilson Phillips,f,1990,,f,Release Me by Wilson Phillips,1
Get Here,Oleta Adams,Brenda Gordon Russell,f,1991,,f,Get Here by Oleta Adams,0
Touch Me (All Night Long),Cathy Dennis,Catherine Dennis,f,1991,,f,Touch Me (All Night Long) by Cathy Dennis,0
Something To Talk About,Bonnie Raitt,S.Eikhard,f,1991,,f,Something To Talk About by Bonnie Raitt,0
The Promise Of A New Day,Paula Abdul,Sandra St. Victor,f,1991,,f,The Promise Of A New Day by Paula Abdul,0
Baby Baby,Amy Grant,Amy Grant,f,1991,,f,Baby Baby by Amy Grant,1
Every Heartbeat,Amy Grant,Amy Grant,f,1991,,f,Every Heartbeat by Amy Grant,1
Coming Out Of The Dark,Gloria Estefan,Gloria M. Estefan,f,1991,,f,Coming Out Of The Dark by Gloria Estefan,1
Romantic,Karyn White,Karyn White,f,1991,,f,Romantic by Karyn White,1
Emotions,Mariah Carey,Mariah Carey,f,1991,,f,Emotions by Mariah Carey,1
Emotions,Mariah Carey,Mariah Carey,f,1991,,f,Emotions by Mariah Carey,1
I Don't Wanna Cry,Mariah Carey,Mariah Carey,f,1991,,f,I Don't Wanna Cry by Mariah Carey,1
Someday,Mariah Carey,Mariah Carey,f,1991,,f,Someday by Mariah Carey,1
The Promise Of A New Day,Paula Abdul,Paula Abdul,f,1991,,f,The Promise Of A New Day by Paula Abdul,1
You're In Love,Wilson Phillips,Wilson Phillips,f,1991,,f,You're In Love by Wilson Phillips,1
If You Asked Me To,Celine Dion,Diane Eve Warren,f,1992,,f,If You Asked Me To by Celine Dion,0
I Will Always Love You,Whitney Houston,Dolly Parton,f,1992,,f,I Will Always Love You by Whitney Houston,0
Save The Best For Last,Vanessa Williams,Wendy Waldman,f,1992,,f,Save The Best For Last by Vanessa Williams,0
Finally,CeCe Peniston,C.Peniston,f,1992,,f,Finally by CeCe Peniston,1
Stay,Shakespear's Sister,M.Detroit,f,1992,,f,Stay by Shakespear's Sister,1
Erotica,Madonna,Madonna Ciccone,f,1992,,f,Erotica by Madonna,1
This Used To Be My Playground,Madonna,Madonna Ciccone,f,1992,,f,This Used To Be My Playground by Madonna,1
Can't Let Go,Mariah Carey,Mariah Carey,f,1992,,f,Can't Let Go by Mariah Carey,1
Make It Happen,Mariah Carey,Mariah Carey,f,1992,,f,Make It Happen by Mariah Carey,1
Stay,Shakespear's Sister,S.Fahey,f,1992,,f,Stay by Shakespear's Sister,1
I Love Your Smile,Shanice,S.Wilson,f,1992,,f,I Love Your Smile by Shanice,1
Damn I Wish I Was Your Lover,Sophie B. Hawkins,Sophie B. Hawkins,f,1992,,f,Damn I Wish I Was Your Lover by Sophie B. Hawkins,1
Saving Forever For You (From \Beverly Hills,Shanice,Diane Eve Warren,f,1993,,f,Saving Forever For You (From \Beverly Hills by Shanice,0
I Have Nothing,Whitney Houston,LindaThompson Jenner,f,1993,,f,I Have Nothing by Whitney Houston,0
"I'm Every Woman (From \The Bodyguard\"")""",Whitney Houston,Valerie Simpson,f,1993,,f,"I'm Every Woman (From \The Bodyguard\"")"" by Whitney Houston",0
Shoop,Salt-N-Pepa,Denton,f,1993,,f,Shoop by Salt-N-Pepa,1
Shoop,Salt-N-Pepa,James,f,1993,,f,Shoop by Salt-N-Pepa,1
Again,Janet Jackson,Janet Jackson,f,1993,,f,Again by Janet Jackson,1
If,Janet Jackson,Janet Jackson,f,1993,,f,If by Janet Jackson,1
That's The Way Love Goes,Janet Jackson,Janet Jackson,f,1993,,f,That's The Way Love Goes by Janet Jackson,1
Dreamlover,Mariah Carey,Mariah Carey,f,1993,,f,Dreamlover by Mariah Carey,1
Hero,Mariah Carey,Mariah Carey,f,1993,,f,Hero by Mariah Carey,1
The Power Of Love,Celine Dion,Jennifer Rush,f,1994,,f,The Power Of Love by Celine Dion,0
The Power Of Love,Celine Dion,M.S.Applegate,f,1994,,f,The Power Of Love by Celine Dion,0
Whatta Man,Salt-N-Pepa Featuring En Vogue,Cheryl James,f,1994,,f,Whatta Man by Salt-N-Pepa Featuring En Vogue,1
"Any Time, Any Place/And On And On",Janet Jackson,Janet Jackson,f,1994,,f,"Any Time, Any Place/And On And On by Janet Jackson",1
"Stay (I Missed You) (From \Reality Bites\"")""",Lisa Loeb & Nine Stories,Lisa Loeb,f,1994,,f,"Stay (I Missed You) (From \Reality Bites\"")"" by Lisa Loeb & Nine Stories",1
"I'll Remember (From \With Honors\"")""",Madonna,Madonna Ciccone,f,1994,,f,"I'll Remember (From \With Honors\"")"" by Madonna",1
Secret,Madonna,Madonna Ciccone,f,1994,,f,Secret by Madonna,1
Without You/Never Forget You,Mariah Carey,Mariah Carey,f,1994,,f,Without You/Never Forget You by Mariah Carey,1
All I Wanna Do,Sheryl Crow,Sheryl Crow,f,1994,,f,All I Wanna Do by Sheryl Crow,1
Fantasy,Mariah Carey,Tina Weymouth,f,1995,,f,Fantasy by Mariah Carey,0
You Gotta Be,Des'ree,Des'ree,f,1995,,f,You Gotta Be by Des'ree,1
Runaway,Janet Jackson,Janet Jackson,f,1995,,f,Runaway by Janet Jackson,1
Waterfalls,TLC,Lisa Lopes,f,1995,,f,Waterfalls by TLC,1
Take A Bow,Madonna,Madonna Ciccone,f,1995,,f,Take A Bow by Madonna,1
Fantasy,Mariah Carey,Mariah Carey,f,1995,,f,Fantasy by Mariah Carey,1
Strong Enough,Sheryl Crow,Sheryl Crow,f,1995,,f,Strong Enough by Sheryl Crow,1
Don't Let Go (Love),En Vogue,Andrea Martin,f,1996,,f,Don't Let Go (Love) by En Vogue,0
You're The One,SWV,Andrea Martin,f,1996,,f,You're The One by SWV,0
"Because You Loved Me (From \Up Close & Personal\"")""",Celine Dion,Diane Eve Warren,f,1996,,f,"Because You Loved Me (From \Up Close & Personal\"")"" by Celine Dion",0
Un-Break My Heart,Toni Braxton,Diane Eve Warren,f,1996,,f,Un-Break My Heart by Toni Braxton,0
You're The One,SWV,Tamara Johnson,f,1996,,f,You're The One by SWV,0
Ironic,Alanis Morissette,Alanis Morissette,f,1996,,f,Ironic by Alanis Morissette,1
You're The One,SWV,Cheryl Gamble,f,1996,,f,You're The One by SWV,1
I Love You Always Forever,Donna Lewis,Donna Lewis,f,1996,,f,I Love You Always Forever by Donna Lewis,1
Always Be My Baby,Mariah Carey,Mariah Carey,f,1996,,f,Always Be My Baby by Mariah Carey,1
Mouth,Merril Bainbridge,Merril Bainbridge,f,1996,,f,Mouth by Merril Bainbridge,1
Give Me One Reason,Tracy Chapman,Tracy L. Chapman,f,1996,,f,Give Me One Reason by Tracy Chapman,1
"For You I Will (From \Space Jam\"")""",Monica,Diane Eve Warren,f,1997,,f,"For You I Will (From \Space Jam\"")"" by Monica",0
How Do I Live,LeAnn Rimes,Diane Eve Warren,f,1997,,f,How Do I Live by LeAnn Rimes,0
Bitch,Meredith Brooks,S.Peiken,f,1997,,f,Bitch by Meredith Brooks,0
Together Again,Janet,Janet Jackson,f,1997,,f,Together Again by Janet,1
Foolish Games/You Were Meant For Me,Jewel,Jewel Kilcher,f,1997,,f,Foolish Games/You Were Meant For Me by Jewel,1
Honey,Mariah Carey,Mariah Carey,f,1997,,f,Honey by Mariah Carey,1
Bitch,Meredith Brooks,Meredith Brooks,f,1997,,f,Bitch by Meredith Brooks,1
2 Become 1,Spice Girls,Spice Girls,f,1997,,f,2 Become 1 by Spice Girls,1
Say You'll Be There,Spice Girls,Spice Girls,f,1997,,f,Say You'll Be There by Spice Girls,1
Wannabe,Spice Girls,Spice Girls,f,1997,,f,Wannabe by Spice Girls,1
Crush,Jennifer Paige,Berny Cosgrove,f,1998,,f,Crush by Jennifer Paige,0
Ray Of Light,Madonna,Christine Leach,f,1998,,f,Ray Of Light by Madonna,0
The First Night,Monica,M.McLeod,f,1998,,f,The First Night by Monica,0
"No, No, No",Destiny's Child,Mary Brown,f,1998,,f,"No, No, No by Destiny's Child",0
